━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  🔄 스윙 트레이딩 스크리닝 보고서  (981종목)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
     진입        점수        가격     시장     등급        손절        익절     RR        수량       종합         점수  종목
   🟡 보류         15      21,900   약세강세    A        19,369      26,963    2.0          79     🟡 보류        52.2  PI첨단소재 (178920.KS)
   🟡 보류         15      18,950   약세강세    B        17,946      20,959    2.0         105     🟡 보류        52.0  삼영무역 (002810.KS)
   🟡 보류         15      19,140   약세강세    B        18,542      20,337    2.0         104     🟡 보류        52.0  미래에셋 TIGER 글로벌혁신블루칩TOP10증권상장지수투자신탁(주식) (464930.KS)
   🟡 보류         15       1,351   강세추세    C         1,042       1,970    2.0         646     🟡 보류        51.6  KEC (092220.KS)
   🟡 보류         15       4,230   약세강세    A         4,123       4,443    2.0         472     🟡 보류        51.5  이지스밸류플러스리츠 (334890.KS)
   🟡 보류         15       3,860   약세추세    A         3,643       4,294    2.0         518     🟡 보류        51.5  NPC (004250.KS)
   🟡 보류         15      52,000   약세강세    A        47,402      61,196    2.0          38     🟡 보류        51.1  코스모신소재 (005070.KS)
   🟡 보류         15      25,200   약세강세    B        22,621      30,357    2.0          77     🟡 보류        50.5  계룡건설 (013580.KS)
   🟡 보류         15      58,000   약세강세    A        52,905      68,191    2.0          34     🟡 보류        49.1  전진건설로봇 (079900.KS)
   🟡 보류         15       1,718   약세강세    A         1,492       2,169    2.0         886     🟡 보류        49.1  미래에셋 TIGER 2차전지TOP10레버리지 증권상장지수투자신탁(주식-파생형) (412570.KS)
   🟡 보류         15      27,100   약세강세    B        25,564      30,172    2.0          73     🟡 보류        48.6  동서 (026960.KS)
   🟡 보류         15      40,420   약세강세    B        38,992      43,277    2.0          49     🟡 보류        48.6  삼성 KODEX 미국반도체증권상장지수투자신탁[주식] (390390.KS)
   🟡 보류         15       3,290   약세강세    B         3,173       3,525    2.0         607     🟡 보류        48.6  현대퓨처넷 (126560.KS)
   🟡 보류         15     196,500   약세강세    B       179,352     230,797    2.0          10     🟡 보류        48.2  삼성전자 (005930.KS)
   🟡 보류         15     408,500   약세강세    B       378,595     468,311    2.0           4     🟡 보류        48.2  LG에너지솔루션 (373220.KS)
   🟡 보류         15       5,140   약세강세    B         4,734       5,952    2.0         389     🟡 보류        48.2  팬오션 (028670.KS)
   🟡 보류         15       1,665   약세강세    B         1,499       1,996    2.0       1,201     🟡 보류        48.2  이월드 (084680.KS)
   🟡 보류         15       4,765   약세강세    B         4,331       5,634    2.0         419     🟡 보류        48.2  금호건설 (002990.KS)
   🟡 보류         15       5,070   강세추세    B         4,565       6,081    2.0         394     🟡 보류        48.1  SK네트웍스 (001740.KS)
   🟡 보류         15      11,830   약세강세    B        11,220      13,051    2.0         169     🟡 보류        47.5  신세계인터내셔날 (031430.KS)
   🟡 보류         15       8,965   약세강세    B         8,801       9,292    2.0         223     🟡 보류        47.5  신한 SOL 팔란티어커버드콜OTM채권혼합증권상장지수투자신탁[채권혼합-파생형] (0040Y0.KS)
   🟡 보류         15      12,860   약세강세    B        12,402      13,776    2.0         155     🟡 보류        47.5  SK디앤디 (210980.KS)
   🟡 보류         15      22,100   약세강세    B        21,294      23,712    2.0          90     🟡 보류        47.5  경동도시가스 (267290.KS)
   🟡 보류         15     121,800   약세강세    B       112,154     141,091    2.0          16     🟡 보류        47.1  SK이노베이션 (096770.KS)
   🟡 보류         15      61,800   약세강세    B        57,292      70,816    2.0          32     🟡 보류        47.1  두산밥캣 (241560.KS)
   🟡 보류         15      42,700   약세강세    C        36,973      54,154    2.0          34     🟡 보류        47.1  한국카본 (017960.KS)
   🟡 보류         15      74,900   약세강세    B        70,226      84,247    2.0          26     🟡 보류        47.1  한국단자 (025540.KS)
   🟡 보류         15      14,730   약세강세    B        13,534      17,121    2.0         135     🟡 보류        47.1  삼성 KODEX 방산TOP10증권상장지수투자신탁[주식] (0080G0.KS)
   🟡 보류         15      51,240   약세강세    B        47,568      58,584    2.0          39     🟡 보류        47.1  미래에셋TIGER필라델피아반도체레버리지증권상장지수투자신탁(주식혼합-파생형)(합성) (423920.KS)
   🟡 보류         15       1,486   약세강세    B         1,347       1,764    2.0       1,345     🟡 보류        47.1  한국토지신탁 (034830.KS)
   🟡 보류         15       6,220   약세강세    B         5,741       7,177    2.0         321     🟡 보류        47.1  신한 SOL 2차전지소부장Fn증권상장지수투자신탁[주식] (455860.KS)
   🟡 보류         15       8,345     횡보      C         7,855       9,325    2.0         239     🟡 보류        46.9  한국투자 ACE 미국AI테크핵심산업액티브증권상장지수투자신탁(주식) (0118Z0.KS)
   🟡 보류         15      13,470   약세강세    B        12,306      15,798    2.0         148     🟡 보류        46.0  현대지에프홀딩스 (005440.KS)
   🟡 보류         15   1,117,000   약세강세    C     1,012,574   1,325,851    2.0           1     🟡 보류        46.0  태광산업 (003240.KS)
   🟡 보류         15      42,900   약세강세    B        38,580      51,539    2.0          46     🟡 보류        46.0  LS에코에너지 (229640.KS)
   🟡 보류         15      48,500   약세강세    B        44,730      56,039    2.0          41     🟡 보류        46.0  롯데정밀화학 (004000.KS)
   🟡 보류         15      57,700   약세강세    B        52,240      68,620    2.0          34     🟡 보류        46.0  영풍 (000670.KS)
   🟡 보류         15     156,200   약세강세    B       144,347     179,906    2.0          12     🟡 보류        46.0  세아홀딩스 (058650.KS)
   🟡 보류         15       3,845   약세강세    B         3,566       4,402    2.0         520     🟡 보류        46.0  JW홀딩스 (096760.KS)
   🟡 보류         15       5,080   약세강세    B         4,496       6,247    2.0         342     🟡 보류        46.0  만호제강 (001080.KS)
